Time 1.00, Process 1, Started
Time 1.00, Process 1, Resumed
Time 1.50, Process 1, Paused
Time 1.50, Process 1, Resumed
Time 2.00, Process 1, Paused
Time 2.00, Process 2, Started
Time 2.00, Process 2, Resumed
Time 2.30, Process 2, Paused
Time 2.30, Process 2, Resumed
Time 2.60, Process 2, Paused
Time 2.60, Process 2, Resumed
Time 2.90, Process 2, Paused
Time 2.90, Process 2, Resumed
Time 3.20, Process 2, Paused
Time 3.20, Process 3, Started
Time 3.20, Process 3, Resumed
Time 3.30, Process 3, Paused
Time 3.30, Process 3, Resumed
Time 3.40, Process 3, Paused
Time 3.40, Process 3, Resumed
Time 3.50, Process 3, Paused
Time 3.50, Process 3, Resumed
Time 3.60, Process 3, Paused
Time 3.60, Process 3, Resumed
Time 3.70, Process 3, Paused
Time 3.70, Process 3, Resumed
Time 3.80, Process 3, Paused
Time 3.80, Process 3, Resumed
Time 3.90, Process 3, Paused
Time 3.90, Process 3, Resumed
Time 4.00, Process 3, Paused
Time 4.00, Process 3, Resumed
Time 4.10, Process 3, Paused
Time 4.10, Process 3, Resumed
Time 4.20, Process 3, Paused
Time 4.20, Process 3, Finished
Time 4.20, Process 2, Resumed
Time 4.50, Process 2, Paused
Time 4.50, Process 2, Resumed
Time 4.80, Process 2, Paused
Time 4.80, Process 2, Resumed
Time 5.10, Process 2, Paused
Time 5.10, Process 2, Resumed
Time 5.40, Process 2, Paused
Time 5.40, Process 2, Resumed
Time 5.70, Process 2, Paused
Time 5.70, Process 2, Resumed
Time 6.00, Process 2, Paused
Time 6.00, Process 2, Resumed
Time 6.00, Process 2, Paused
Time 6.00, Process 2, Finished
Time 6.00, Process 1, Resumed
Time 6.50, Process 1, Paused
Time 6.50, Process 1, Resumed
Time 7.00, Process 1, Paused
Time 7.00, Process 1, Resumed
Time 7.50, Process 1, Paused
Time 7.50, Process 1, Resumed
Time 8.00, Process 1, Paused
Time 8.00, Process 1, Resumed
Time 8.50, Process 1, Paused
Time 8.50, Process 1, Resumed
Time 9.00, Process 1, Paused
Time 9.00, Process 1, Resumed
Time 9.50, Process 1, Paused
Time 9.50, Process 1, Resumed
Time 10.00, Process 1, Paused
Time 10.00, Process 1, Finished
-----------------------------
Waiting Times:
Process 1: 4.0
Process 2: 1.0
Process 3: 1.0
